index,Quarter,AdmissionType,SpecialtyName,Episodes,LengthOfEpisode,Stays,LengthOfStay,HBName,LocationName
0,2014Q4,Elective Inpatients,General Medicine,12,30,25,122,NHS Ayrshire and Arran,University Hospital Ayr
1,2015Q1,Elective Inpatients,General Medicine,27,60,30,75,NHS Ayrshire and Arran,University Hospital Ayr
2,2015Q2,Elective Inpatients,General Medicine,18,60,30,76,NHS Ayrshire and Arran,University Hospital Ayr
3,2015Q3,Elective Inpatients,General Medicine,20,40,30,69,NHS Ayrshire and Arran,University Hospital Ayr
4,2015Q4,Elective Inpatients,General Medicine,15,30,25,164,NHS Ayrshire and Arran,University Hospital Ayr
5,2016Q1,Elective Inpatients,General Medicine,10,10,20,45,NHS Ayrshire and Arran,University Hospital Ayr
6,2016Q2,Elective Inpatients,General Medicine,12,95,12,15,NHS Ayrshire and Arran,University Hospital Ayr
7,2016Q3,Elective Inpatients,General Medicine,14,15,20,91,NHS Ayrshire and Arran,University Hospital Ayr
8,2016Q4,Elective Inpatients,General Medicine,14,15,20,20,NHS Ayrshire and Arran,University Hospital Ayr
9,2017Q1,Elective Inpatients,General Medicine,17,20,25,57,NHS Ayrshire and Arran,University Hospital Ayr
10,2017Q2,Elective Inpatients,General Medicine,12,30,25,93,NHS Ayrshire and Arran,University Hospital Ayr
11,2017Q3,Elective Inpatients,General Medicine,21,25,39,65,NHS Ayrshire and Arran,University Hospital Ayr
12,2017Q4,Elective Inpatients,General Medicine,26,30,42,105,NHS Ayrshire and Arran,University Hospital Ayr
13,2018Q1,Elective Inpatients,General Medicine,34,65,55,66,NHS Ayrshire and Arran,University Hospital Ayr
14,2018Q2,Elective Inpatients,General Medicine,31,45,60,102,NHS Ayrshire and Arran,University Hospital Ayr
15,2018Q3,Elective Inpatients,General Medicine,22,30,45,62,NHS Ayrshire and Arran,University Hospital Ayr
16,2018Q4,Elective Inpatients,General Medicine,29,105,50,123,NHS Ayrshire and Arran,University Hospital Ayr
17,2019Q1,Elective Inpatients,General Medicine,23,35,34,80,NHS Ayrshire and Arran,University Hospital Ayr
18,2019Q2,Elective Inpatients,General Medicine,12,20,25,46,NHS Ayrshire and Arran,University Hospital Ayr
19,2019Q3,Elective Inpatients,General Medicine,16,45,25,57,NHS Ayrshire and Arran,University Hospital Ayr
20,2014Q4,Elective Inpatients,Cardiology,60,80,65,90,NHS Ayrshire and Arran,University Hospital Ayr
21,2015Q1,Elective Inpatients,Cardiology,55,80,60,140,NHS Ayrshire and Arran,University Hospital Ayr
22,2015Q2,Elective Inpatients,Cardiology,65,70,70,94,NHS Ayrshire and Arran,University Hospital Ayr
23,2015Q3,Elective Inpatients,Cardiology,45,65,55,108,NHS Ayrshire and Arran,University Hospital Ayr
24,2015Q4,Elective Inpatients,Cardiology,50,70,65,118,NHS Ayrshire and Arran,University Hospital Ayr
25,2016Q1,Elective Inpatients,Cardiology,40,60,50,75,NHS Ayrshire and Arran,University Hospital Ayr
26,2016Q2,Elective Inpatients,Cardiology,30,40,30,40,NHS Ayrshire and Arran,University Hospital Ayr
27,2016Q3,Elective Inpatients,Cardiology,35,55,40,66,NHS Ayrshire and Arran,University Hospital Ayr
28,2016Q4,Elective Inpatients,Cardiology,30,50,40,60,NHS Ayrshire and Arran,University Hospital Ayr
29,2017Q1,Elective Inpatients,Cardiology,30,35,40,52,NHS Ayrshire and Arran,University Hospital Ayr
30,2017Q2,Elective Inpatients,Cardiology,40,60,50,94,NHS Ayrshire and Arran,University Hospital Ayr
31,2017Q3,Elective Inpatients,Cardiology,30,35,40,70,NHS Ayrshire and Arran,University Hospital Ayr
32,2017Q4,Elective Inpatients,Cardiology,35,55,40,60,NHS Ayrshire and Arran,University Hospital Ayr
33,2018Q1,Elective Inpatients,Cardiology,30,30,36,35,NHS Ayrshire and Arran,University Hospital Ayr
34,2018Q2,Elective Inpatients,Cardiology,31,30,40,35,NHS Ayrshire and Arran,University Hospital Ayr
35,2018Q3,Elective Inpatients,Cardiology,23,40,35,55,NHS Ayrshire and Arran,University Hospital Ayr
36,2018Q4,Elective Inpatients,Cardiology,34,55,35,55,NHS Ayrshire and Arran,University Hospital Ayr
37,2019Q1,Elective Inpatients,Cardiology,35,45,40,45,NHS Ayrshire and Arran,University Hospital Ayr
38,2019Q2,Elective Inpatients,Cardiology,27,40,30,70,NHS Ayrshire and Arran,University Hospital Ayr
39,2019Q3,Elective Inpatients,Cardiology,38,55,40,60,NHS Ayrshire and Arran,University Hospital Ayr
40,2015Q2,Elective Inpatients,Endocrinology & Diabetes,5,5,5,5,NHS Ayrshire and Arran,University Hospital Ayr
41,2015Q3,Elective Inpatients,Endocrinology & Diabetes,0,0,0,0,NHS Ayrshire and Arran,University Hospital Ayr
